"1111A0","Oilseed farming"
"1111B0","Grain farming"
"111200","Vegetable and melon farming"
"111335","Tree nut farming"
"1113A0","Fruit farming"
"111400","Greenhouse and nursery production"
"111910","Tobacco farming"
"111920","Cotton farming"
"1119A0","Sugarcane and sugar beet farming"
"1119B0","All other crop farming"
"112100","Cattle ranching and farming"
"112300","Poultry and egg production"
"112A00","Animal production, except cattle and poultry and eggs"
"113300","Logging"
"113A00","Forest nurseries, forest products, and timber tracts"
"114100","Fishing"
"114200","Hunting and trapping"
"115000","Agriculture and forestry support activities"
"211000","Oil and gas extraction"
"212100","Coal mining"
"212210","Iron ore mining"
"212230","Copper, nickel, lead, and zinc mining"
"2122A0","Gold, silver, and other metal ore mining"
"212310","Stone mining and quarrying"
"212320","Sand, gravel, clay, and refractory mining"
"212390","Other nonmetallic mineral mining"
"213111","Drilling oil and gas wells"
"213112","Support activities for oil and gas operations"
"21311A","Support activities for other mining"
"221100","Power generation and supply"
"221200","Natural gas distribution"
"221300","Water, sewage and other systems"
"230110","New residential 1-unit structures, nonfarm"
"230120","New multifamily housing structures, nonfarm"
"230130","New residential additions and alterations, nonfarm"
"230140","New farm housing units and additions and alterations"
"230210","Manufacturing and industrial buildings"
"230220","Commercial and institutional buildings"
"230230","Highway, street, bridge, and tunnel construction"
"230240","Water, sewer, and pipeline construction"
"230250","Other new construction"
"230310","Maintenance and repair of farm and nonfarm residential structures"
"230320","Maintenance and repair of nonresidential buildings"
"230330","Maintenance and repair of highways, streets, bridges, and tunnels"
"230340","Other maintenance and repair construction"
"311111","Dog and cat food manufacturing"
"311119","Other animal food manufacturing"
"311211","Flour milling"
"311212","Rice milling"
"311213","Malt manufacturing"
"311221","Wet corn milling"
"311222","Soybean processing"
"311223","Other oilseed processing"
"311225","Fats and oils refining and blending"
"311230","Breakfast cereal manufacturing"
"311310","Sugar manufacturing"
"311320","Confectionery manufacturing from cacao beans"
"311330","Confectionery manufacturing from purchased chocolate"
"311340","Nonchocolate confectionery manufacturing"
"311410","Frozen food manufacturing"
"311420","Fruit and vegetable canning and drying"
"311511","Fluid milk manufacturing"
"311512","Creamery butter manufacturing"
"311513","Cheese manufacturing"
"311514","Dry, condensed, and evaporated dairy products"
"311520","Ice cream and frozen dessert manufacturing"
"311611","Animal, except poultry, slaughtering"
"311612","Meat processed from carcasses"
"311613","Rendering and meat byproduct processing"
"311615","Poultry processing"
"311700","Seafood product preparation and packaging"
"311813","Frozen cakes and other pastries manufacturing"
"31181A","Bread and bakery product, except frozen, manufacturing"
"311821","Cookie and cracker manufacturing"
"311822","Mixes and dough made from purchased flour"
"311823","Dry pasta manufacturing"
"311830","Tortilla manufacturing"
"311911","Roasted nuts and peanut butter manufacturing"
"311919","Other snack food manufacturing"
"311920","Coffee and tea manufacturing"
